station,latitude,longitude,water_depth,years_active
COBB 2,46.76733333,-130.7793333,234,1990|1991|1992
COBB 3,46.7705,-130.7728333,224,1990|1991|1992
CP0,48.38666667,-123.3483333,-1,1969
CP01,54.38016667,-130.659,119,1991|1992
CP01S,54.42483333,-130.6581667,69,1991|1992
CP02,54.30816667,-130.7398333,194,1991|1992
CP02S,54.31383333,-130.7525,209,1991|1992
CP1,48.38966667,-123.3438333,91,1977|1978
CP2,48.39666667,-123.3451667,46,1977|1978
CP3,48.4,-123.3461667,32,1977|1978
CP4,48.4015,-123.3466667,20,1977
CRD1,48.3985,-123.4025,60,1991|1992|1993|1994|1995|1996
CRD10,48.63086667,-123.3886667,29,1998|1999
CRD2,48.833,-123.4421667,18,1993
CRD5,48.395,-123.3483333,63,1994|1995|1996|1997|1998
CRD5A,48.39033333,-123.3489167,89,1996|1997|1998
CS-1,59.91613333,-144.0004,60,1997|1998
CS-2,59.63291667,-143.9999167,164,1997|1998
CS-3,59.83251667,-148.83355,188,1997|1998
CSJ,52.05,-131.2533333,205,1981|1982
CTC 11,48.98505,-125.1802,85.25,1999
CTC11,48.9855,-125.181,83,1999|2000
CX1,46.335,-129.71,2250,1993|1994
CYP1,49.25085,-125.8666667,67,2016|2017
CZ1,48.46833333,-125.385,163,1979|1980|1981
CZ2,48.36666667,-125.59,151,1979|1980|1981
CZ3,48.26166667,-125.77,206,1979|1980|1981|1982
CZ4,48.18833333,-125.92,810,1979|1980|1981
Cook1,49.63068667,-126.60591,161,2017|2018
D01,54.63966667,-132.0951667,135,1984
D02,54.58633333,-132.1286667,169,1984
D022,54.41666667,-132.5633333,290,1986
D03,54.54733333,-132.065,295,1984
D04,54.445,-132.0083333,294,1984|1985
D05,54.27166667,-131.9166667,208,1984|1985
D06,54.203,-131.949,118,1984|1985
D07,54.13166667,-131.85,-1,1984
D09,54.48333333,-131.6733333,305,1984|1985
D10,54.45,-132.2816667,356,1984|1985
D11,54.61,-132.6933333,136,1984
D12,54.49,-132.635,371,1984
D13,54.35333333,-132.5766667,263,1984
D14,54.21666667,-132.5,124,1984|1985
D15,54.55116667,-131.3546667,110,1984|1985
D22,54.42166667,-132.5766667,290,1984|1985
D23,54.31833333,-132.5233333,234,1984|1985
D24,54.36166667,-131.95,239,1984|1985
DANE,71.03333333,-131.83,64,1989
DANW,70.90166667,-133.32,71,1989
DASE,70.7,-130.9783333,40,1989
DASW,70.41333333,-132.035,41,1989
DEV1,53.57723333,-128.8541,163,2015|2016
DIXON1,54.683225,-131.20825,339,2021|2022
